"id","title","release_year","country","duration","language","certification","gross","budget"
2648,"Peaceful Warrior",2006,"Germany",120,"English","PG-13",1055654,10000000
2649,"Perfume: The Story of a Murderer",2006,"Germany",147,"English","R",2208939,50000000
2650,"Phat Girlz",2006,"USA",99,"English","PG-13",7059537,3000000
2651,"Pirates of the Caribbean: Dead Man's Chest",2006,"USA",151,"English","PG-13",423032628,225000000
2652,"Poseidon",2006,"USA",98,"English","PG-13",60655503,160000000
2653,"Poultrygeist: Night of the Chicken Dead",2006,"USA",103,"English","Unrated",23000,500000
2654,"Pulse",2006,"USA",90,"English","PG-13",20259297,20000000
2655,"Quinceañera",2006,"USA",90,"Spanish","R",1689999,400000
2656,"Rang De Basanti",2006,"India",157,"Hindi","Not Rated",2197331,
2657,"Renaissance",2006,"France",105,"English","R",63260,14000000
2658,"Rescue Dawn",2006,"USA",120,"English","PG-13",5484375,10000000
2659,"Rocky Balboa",2006,"USA",139,"English","PG",70269171,24000000
2660,"Running Scared",2006,"Germany",122,"English","R",6855137,17000000
2661,"Running with Scissors",2006,"USA",122,"English","R",6754898,12000000
2662,"Saw III",2006,"USA",121,"English","R",80150343,10000000
2663,"Scary Movie 4",2006,"USA",89,"English","PG-13",90703745,45000000
2664,"School for Scoundrels",2006,"USA",108,"English","PG-13",17803796,20000000
2665,"Scoop",2006,"UK",96,"English","PG-13",10515579,4000000
2666,"Scott Walker: 30 Century Man",2006,"UK",95,"English",,,500000
2667,"Severance",2006,"UK",90,"English","R",136432,5000000
2668,"She's the Man",2006,"USA",105,"English","PG-13",33687630,20000000
2669,"Sherrybaby",2006,"USA",96,"English","R",198407,2000000
2670,"Shortbus",2006,"USA",101,"English","Unrated",1984378,2000000
2671,"Silent Hill",2006,"Canada",132,"English","R",46982632,50000000
2672,"Slither",2006,"Canada",95,"English","R",7774730,15500000
2673,"Smokin' Aces",2006,"UK",109,"English","R",35635046,17000000
2674,"Snakes on a Plane",2006,"Germany",105,"English","R",34014398,33000000
2675,"Snakes on a Plane",2006,"Germany",105,"English","R",34014398,33000000
2676,"Southland Tales",2006,"France",160,"English","R",273420,17000000
2677,"Special",2006,"USA",81,"English","R",6387,1000000
2678,"Stay Alive",2006,"USA",75,"English","PG-13",23078294,9000000
2679,"Step Up",2006,"USA",104,"English","PG-13",65269010,12000000
2680,"Stick It",2006,"Germany",103,"English","PG-13",26870825,
2681,"Stranger Than Fiction",2006,"USA",113,"English","PG-13",40137776,38000000
2682,"Superman Returns",2006,"USA",169,"English","PG-13",200069408,209000000
2683,"Take the Lead",2006,"USA",118,"English","PG-13",34703228,30000000
2684,"Talladega Nights: The Ballad of Ricky Bobby",2006,"USA",122,"English","PG-13",148213377,73000000
2685,"The Ant Bully",2006,"USA",88,"English","PG",28133159,50000000
2686,"The Astronaut Farmer",2006,"USA",104,"English","PG",10996440,13000000
2687,"The Benchwarmers",2006,"USA",75,"English","PG-13",57651794,33000000
2688,"The Black Dahlia",2006,"Germany",121,"English","R",22518325,50000000
2689,"The Break-Up",2006,"USA",106,"English","PG-13",118683135,52000000
2690,"The Bubble",2006,"Israel",90,"Hebrew","Unrated",155972,1500000
2691,"The Covenant",2006,"USA",97,"English","PG-13",23292105,20000000
2692,"The Da Vinci Code",2006,"USA",174,"English","PG-13",217536138,125000000
2693,"The Dead Girl",2006,"USA",93,"English","R",17311,
2694,"The Departed",2006,"USA",151,"English","R",132373442,90000000
2695,"The Devil Wears Prada",2006,"USA",109,"English","PG-13",124732962,35000000
2696,"The Fast and the Furious: Tokyo Drift",2006,"USA",104,"English","PG-13",62494975,85000000
2697,"The Fountain",2006,"USA",96,"English","PG-13",10139254,35000000
2698,"The Good German",2006,"USA",105,"English","R",1304837,32000000
2699,"The Grudge 2",2006,"USA",137,"English","PG-13",39143839,20000000
2700,"The Hills Have Eyes",2006,"USA",108,"English","R",41777564,15000000
2701,"The History Boys",2006,"UK",109,"English","R",2706659,2000000
2702,"The Hoax",2006,"USA",116,"English","R",7156933,25000000
2703,"The Holiday",2006,"USA",138,"English","PG-13",63224849,85000000
2704,"The Host",2006,"South Korea",110,"Korean","R",2201412,12215500000
2705,"The Illusionist",2006,"USA",110,"English","PG-13",39825798,16000000
2706,"The Illusionist",2006,"USA",110,"English","PG-13",39825798,16000000
2707,"The Lake House",2006,"USA",99,"English","PG",52320979,40000000
2708,"The Last King of Scotland",2006,"UK",121,"English","R",17605861,6000000
2709,"The Lives of Others",2006,"Germany",137,"German","R",11284657,2000000
2710,"The Magic Flute",2006,"France",135,"English",,,27000000
2711,"The Marine",2006,"USA",92,"English","PG-13",18843314,20000000
2712,"The Naked Ape",2006,"USA",,"English",,,
2713,"The Namesake",2006,"USA",122,"English","PG-13",13569248,
2714,"The Nativity Story",2006,"USA",101,"English","PG",37617947,30000000
2715,"The Night Listener",2006,"USA",81,"English","R",7825820,4000000
2716,"The Oh in Ohio",2006,"USA",88,"English","R",,5000000
2717,"The Painted Veil",2006,"China",125,"Mandarin","PG-13",8047690,19400000
2718,"The Pet",2006,"USA",94,"English",,,1000000
2719,"The Pink Panther",2006,"USA",93,"English","PG",82226474,65000000
2720,"The Prestige",2006,"USA",130,"English","PG-13",53082743,40000000
2721,"The Pursuit of Happyness",2006,"USA",117,"English","PG-13",162586036,55000000
2722,"The Queen",2006,"UK",94,"English","PG-13",56437947,9800000
2723,"The Sentinel",2006,"USA",107,"English","PG-13",36279230,60000000
2724,"The Shaggy Dog",2006,"USA",98,"English","PG",61112916,50000000
2725,"The Texas Chainsaw Massacre: The Beginning",2006,"USA",83,"English","R",39511038,16000000
2726,"The Tooth Fairy",2006,"USA",89,"English",,,1500000
2727,"The Trials of Darryl Hunt",2006,"USA",106,"English","PG-13",1111,200000
2728,"The Ultimate Gift",2006,"USA",114,"English","PG",3420871,
2729,"The Wind That Shakes the Barley",2006,"Ireland",127,"English","Not Rated",1829142,
2730,"This Is England",2006,"UK",101,"English","Unrated",327919,1500000
2731,"Thr3e",2006,"Poland",101,"English","PG-13",978908,2400000
2732,"Ultraviolet",2006,"USA",94,"English","PG-13",18500966,30000000
2733,"Unaccompanied Minors",2006,"USA",90,"English","PG",16647384,26000000
2734,"Underworld: Evolution",2006,"USA",102,"English","R",62318875,50000000
2735,"United 93",2006,"USA",111,"English","R",31471430,15000000
2736,"Valley of the Heart's Delight",2006,"USA",100,"English",,118666,2500000
2737,"Valley of the Wolves: Iraq",2006,"Turkey",122,"Arabic",,,8300000
2738,"Volver",2006,"Spain",121,"Spanish","R",12899702,
2739,"We Are Marshall",2006,"USA",131,"English","PG",43532294,65000000
2740,"When a Stranger Calls",2006,"USA",87,"English","PG-13",47860214,15000000
2741,"Who Killed the Electric Car?",2006,"USA",92,"English","PG",1677838,1000000
2742,"Wordplay",2006,"USA",94,"English","PG",3117666,
2743,"World Trade Center",2006,"USA",129,"English","PG-13",70236496,63000000
2744,"Wristcutters: A Love Story",2006,"USA",88,"English","R",104077,1000000
2745,"X-Men: The Last Stand",2006,"Canada",104,"English","PG-13",234360014,210000000
2746,"You, Me and Dupree",2006,"USA",110,"English","PG-13",75604320,54000000
2747,"Zoom",2006,"USA",83,"English","PG",11631245,35000000
2748,"[Rec]",2007,"Spain",78,"Spanish","R",,1500000
2749,"1408",2007,"USA",114,"English","PG-13",71975611,25000000
2750,"28 Weeks Later",2007,"UK",100,"English","R",28637507,15000000
2751,"3:10 to Yuma",2007,"USA",122,"English","R",53574088,55000000
2752,"30 Days of Night",2007,"USA",113,"English","R",39568996,32000000
2753,"4 Months, 3 Weeks and 2 Days",2007,"Romania",113,"Romanian","Not Rated",1185783,590000
2754,"88 Minutes",2007,"USA",108,"English","R",16930884,30000000
2755,"A Dog's Breakfast",2007,"Canada",88,"English",,,120000
2756,"A Dog's Breakfast",2007,"Canada",88,"English",,,120000
2757,"A Mighty Heart",2007,"USA",108,"English","R",9172810,16000000
2758,"Across the Universe",2007,"USA",133,"English","PG-13",24343673,45000000
2759,"Across the Universe",2007,"USA",133,"English","PG-13",24343673,45000000
2760,"Aliens vs. Predator: Requiem",2007,"USA",102,"English","R",41797066,40000000
2761,"All Hat",2007,"Canada",89,"English","R",,5000000
2762,"Alvin and the Chipmunks",2007,"USA",92,"English","PG",217326336,60000000
2763,"American Gangster",2007,"USA",176,"English","R",130127620,100000000
2764,"And Then Came Love",2007,"USA",90,"English",,,989000
2765,"Aqua Teen Hunger Force Colon Movie Film for Theaters",2007,"USA",86,"English","R",5518918,750000
2766,"Arn: The Knight Templar",2007,"Sweden",270,"Swedish",,,25000000
2767,"Arnolds Park",2007,"USA",103,"English","PG-13",23616,600000
2768,"Atonement",2007,"UK",123,"English","R",50921738,30000000
2769,"August Rush",2007,"USA",114,"English","PG",31655091,30000000
2770,"Awake",2007,"USA",84,"English","R",14373825,8600000
2771,"Because I Said So",2007,"USA",102,"English","PG-13",42640890,
2772,"Becoming Jane",2007,"UK",120,"English","PG",18663911,16500000
2773,"Bee Movie",2007,"USA",91,"English","PG",126597121,150000000
2774,"Beowulf",2007,"USA",115,"English","PG-13",82161969,150000000
2775,"Blades of Glory",2007,"USA",93,"English","PG-13",118153533,61000000
2776,"Blonde Ambition",2007,"USA",93,"English","PG-13",5561,10000000
2777,"Blood and Chocolate",2007,"USA",98,"English","PG-13",3525161,
2778,"Brick Lane",2007,"UK",101,"English","PG-13",1094998,
2779,"Bridge to Terabithia",2007,"USA",96,"English","PG",82234139,17000000
2780,"Brooklyn Rules",2007,"USA",99,"English","R",398420,8000000
2781,"Caramel",2007,"France",95,"Arabic","PG",1060591,1300000
2782,"Certifiably Jonathan",2007,"USA",85,"English",,7826,1200000
2783,"Charlie Bartlett",2007,"USA",97,"English","R",3950294,12000000
2784,"Charlie Wilson's War",2007,"USA",102,"English","R",66636385,75000000
2785,"Closure",2007,"UK",80,"English","R",,1800000
2786,"Code Name: The Cleaner",2007,"USA",91,"English","PG-13",8104069,20000000
2787,"Control",2007,"UK",122,"English","R",871577,4500000
2788,"Daddy Day Camp",2007,"USA",89,"English","PG",13235267,6000000
2789,"Death at a Funeral",2007,"USA",87,"English","R",8579684,9000000
2790,"Death at a Funeral",2007,"USA",87,"English","R",8579684,9000000
2791,"Death Sentence",2007,"USA",111,"English","R",9525276,20000000
2792,"Diary of the Dead",2007,"USA",95,"English","R",952620,2000000
2793,"Disturbia",2007,"USA",105,"English","PG-13",80050171,20000000
2794,"Disturbia",2007,"USA",105,"English","PG-13",80050171,20000000
2795,"Dragon Wars: D-War",2007,"South Korea",107,"English","PG-13",10956379,35000000
2796,"Eastern Promises",2007,"USA",96,"English","R",17114882,25000000
2797,"Elite Squad",2007,"Brazil",115,"Portuguese","R",8060,4000000
2798,"Elizabeth: The Golden Age",2007,"UK",114,"English","PG-13",16264475,55000000
2799,"Enchanted",2007,"USA",107,"English","PG",127706877,85000000
2800,"Epic Movie",2007,"USA",93,"English","PG-13",39737645,20000000
2801,"Evan Almighty",2007,"USA",96,"English","PG",100289690,175000000
2802,"Fantastic 4: Rise of the Silver Surfer",2007,"USA",92,"English","PG",131920333,130000000
2803,"Finishing the Game: The Search for a New Bruce Lee",2007,"USA",84,"English","Not Rated",52850,500000
2804,"Freedom Writers",2007,"Germany",123,"English","PG-13",36581633,21000000
2805,"Funny Games",2007,"USA",111,"English","R",1294640,15000000
2806,"Gandhi, My Father",2007,"India",136,"Hindi",,240425,
2807,"Georgia Rule",2007,"USA",113,"English","R",18882880,20000000
2808,"Ghost Rider",2007,"USA",123,"English","PG-13",115802596,110000000
2809,"Good Luck Chuck",2007,"USA",101,"English","R",35000629,25000000
2810,"Gracie",2007,"USA",95,"English","PG-13",2955039,9000000
2811,"Grindhouse",2007,"USA",189,"English","R",25031037,53000000
2812,"Hairspray",2007,"USA",117,"English","PG",118823091,75000000
2813,"Hannibal Rising",2007,"UK",131,"English","R",27667947,50000000
2814,"Harry Potter and the Order of the Phoenix",2007,"UK",138,"English","PG-13",292000866,150000000
2815,"Hitman",2007,"France",94,"English","R",39687528,24000000
2816,"Hostel: Part II",2007,"USA",94,"English","R",17544812,10000000
2817,"Hot Fuzz",2007,"UK",121,"English","R",23618786,8000000
2818,"Hot Rod",2007,"USA",88,"English","PG-13",13920741,
2819,"How She Move",2007,"Canada",94,"English","PG-13",7070459,
2820,"I Am Legend",2007,"USA",104,"English","PG-13",256386216,150000000
2821,"I Think I Love My Wife",2007,"USA",94,"English","R",12550242,
2822,"I'm Not There.",2007,"USA",135,"English","R",4001121,20000000
2823,"In the Land of Women",2007,"USA",97,"English","PG-13",11043445,10000000
2824,"In the Name of the King: A Dungeon Siege Tale",2007,"Germany",156,"English","PG-13",4535117,60000000
2825,"In the Shadow of the Moon",2007,"UK",100,"English","PG",1134049,2000000
2826,"In the Valley of Elah",2007,"USA",121,"English","R",6777589,
2827,"Into the Wild",2007,"USA",148,"English","R",18352454,15000000
2828,"Jack Brooks: Monster Slayer",2007,"Canada",90,"English","R",,2500000
2829,"Jesus People",2007,"USA",35,"English",,,
2830,"Juno",2007,"USA",96,"English","PG-13",143492840,7500000
2831,"Juno",2007,"USA",96,"English","PG-13",143492840,7500000
2832,"Kiss the Bride",2007,"USA",100,"English","R",31937,500000
2833,"Knocked Up",2007,"USA",133,"English","R",148734225,30000000
2834,"Lars and the Real Girl",2007,"USA",106,"English","PG-13",5949693,12000000
2835,"License to Wed",2007,"USA",91,"English","PG-13",43792641,35000000
2836,"Lions for Lambs",2007,"USA",92,"English","R",14998070,35000000
2837,"Live Free or Die Hard",2007,"USA",129,"English","PG-13",134520804,110000000
2838,"Love in the Time of Cholera",2007,"USA",139,"English","R",4584886,45000000
2839,"Lucky You",2007,"USA",124,"English","PG-13",5755286,55000000
2840,"Married Life",2007,"USA",91,"English","PG-13",1506998,12000000
2841,"Martian Child",2007,"USA",106,"English","PG",7486906,27000000
2842,"Michael Clayton",2007,"USA",119,"English","R",49024969,25000000
2843,"Molière",2007,"France",120,"French","PG-13",634277,16000000
2844,"Mongol: The Rise of Genghis Khan",2007,"Russia",126,"Mongolian","R",5701643,20000000
2845,"Mr. Bean's Holiday",2007,"UK",90,"English","PG",32553210,25000000
2846,"Music and Lyrics",2007,"USA",95,"English","PG-13",50562555,
2847,"My Blueberry Nights",2007,"Hong Kong",95,"English","PG-13",866778,10000000
2848,"My Name Is Bruce",2007,"USA",84,"English","R",173066,1500000
2849,"Namastey London",2007,"India",128,"Hindi",,1207007,
2850,"Nancy Drew",2007,"USA",99,"English","PG",25584685,20000000
2851,"No Country for Old Men",2007,"USA",122,"English","R",74273505,25000000
2852,"No End in Sight",2007,"USA",102,"English",,1430185,2000000
2853,"No Reservations",2007,"USA",104,"English","PG",43097652,28000000
2854,"Ocean's Thirteen",2007,"USA",122,"English","PG-13",117144465,85000000
2855,"Once",2007,"Ireland",85,"English","R",9437933,180000
2856,"P.S. I Love You",2007,"USA",126,"English","PG-13",53680848,30000000
2857,"Paranormal Activity",2007,"USA",84,"English","R",107917283,15000
2858,"Partition",2007,"Canada",116,"English","R",,10000000
2859,"Persepolis",2007,"France",89,"French","PG-13",4443403,7300000
2860,"Pirates of the Caribbean: At World's End",2007,"USA",169,"English","PG-13",309404152,300000000
2861,"Premonition",2007,"USA",96,"English","PG-13",47852604,20000000
2862,"Purple Violets",2007,"USA",103,"English",,,4000000
2863,"Ratatouille",2007,"USA",111,"English","G",206435493,150000000
2864,"Redacted",2007,"USA",90,"English","R",65087,5000000
2865,"Reign Over Me",2007,"USA",124,"English","R",19661987,20000000
2866,"Rendition",2007,"USA",122,"English","R",9664316,27500000
2867,"Reno 911!: Miami",2007,"USA",84,"English","R",20339754,10000000
2868,"Resident Evil: Extinction",2007,"France",94,"English","R",50648679,45000000
2869,"Resurrecting the Champ",2007,"USA",112,"English","PG-13",3169424,13000000
2870,"Rockaway",2007,"USA",90,"English","R",,2000000
2871,"Run, Fatboy, Run",2007,"UK",100,"English","PG-13",5998971,
2872,"Rush Hour 3",2007,"USA",91,"English","PG-13",140080850,140000000
2873,"Savage Grace",2007,"Spain",97,"English","Not Rated",434417,4600000
2874,"Saw IV",2007,"USA",96,"English","R",63270259,10000000
2875,"September Dawn",2007,"USA",111,,"R",1066555,11000000
2876,"Shattered",2007,"UK",98,"English","R",,20000000
2877,"Shooter",2007,"USA",124,"English","R",46975183,61000000
2878,"Shotgun Stories",2007,"USA",92,"English","PG-13",45661,
2879,"Shrek the Third",2007,"USA",93,"English","PG",320706665,160000000
2880,"Sicko",2007,"USA",123,"English","PG-13",24530513,9000000
2881,"Slacker Uprising",2007,"USA",102,"English",,,2000000
2882,"Snow Angels",2007,"USA",107,"English","R",402820,
2883,"Spider-Man 3",2007,"USA",156,"English","PG-13",336530303,258000000
2884,"Spider-Man 3",2007,"USA",156,"English","PG-13",336530303,258000000
2885,"St. Trinian's",2007,"UK",100,"English","PG-13",,13500000
2886,"Stardust",2007,"UK",127,"English","PG-13",38345403,70000000
2887,"Stomp the Yard",2007,"USA",109,"English","PG-13",61356221,14000000
2888,"Sublime",2007,"USA",113,"English","R",,1800000
2889,"Sunshine",2007,"UK",107,"English","R",3675072,26000000
2890,"Superbad",2007,"USA",119,"English","R",121463226,20000000
2891,"Surf's Up",2007,"USA",85,"English","PG",58867694,100000000
2892,"Sydney White",2007,"USA",108,"English","PG-13",11702090,16500000
2893,"Ta Ra Rum Pum",2007,"USA",153,"Hindi",,872643,6000000
2894,"Taxi to the Dark Side",2007,"USA",53,"English","R",274661,1000000
2895,"Teeth",2007,"USA",94,"English","R",347578,
2896,"The Assassination of Jesse James by the Coward Robert Ford",2007,"USA",160,"English","R",3904982,30000000
2897,"The Bourne Ultimatum",2007,"USA",115,"English","PG-13",227137090,110000000
2898,"The Brothers Solomon",2007,"USA",93,"English","R",900926,10000000
2899,"The Bucket List",2007,"USA",97,"English","PG-13",93452056,45000000
2900,"The Color of Freedom",2007,"Germany",118,"English","R",,30000000
2901,"The Death and Life of Bobby Z",2007,"USA",97,"English","R",,22000000
2902,"The Diving Bell and the Butterfly",2007,"France",112,"French","PG-13",5990075,
2903,"The Game Plan",2007,"USA",110,"English","PG",90636983,22000000
2904,"The Golden Compass",2007,"USA",113,"English","PG-13",70083519,180000000
2905,"The Good Night",2007,"USA",93,"English","R",20380,15000000
2906,"The Great Debaters",2007,"USA",126,"English","PG-13",30226144,15000000
2907,"The Hammer",2007,"USA",88,"English","R",442638,850000
2908,"The Hills Have Eyes II",2007,"USA",89,"English","R",20801344,15000000
2909,"The Hunting Party",2007,"USA",101,"English","R",876671,25000000
2910,"The Invasion",2007,"USA",99,"English","PG-13",15071514,80000000
2911,"The Kingdom",2007,"USA",110,"English","R",47456450,70000000
2912,"The Kite Runner",2007,"USA",128,"Dari","PG-13",15797907,20000000
2913,"The Last Legion",2007,"UK",102,"English","PG-13",5932060,35000000
2914,"The Last Sin Eater",2007,"USA",117,"English","PG-13",379643,2200000
2915,"The Legend of God's Gun",2007,"USA",78,"English","R",243768,30000
2916,"The Life Before Her Eyes",2007,"USA",90,"English","R",303439,8000000
2917,"The Living Wake",2007,"USA",91,"English","PG-13",12055,500000
2918,"The Man from Earth",2007,"USA",87,"English","Not Rated",,200000
2919,"The Mist",2007,"USA",126,"English","R",25592632,18000000
2920,"The Number 23",2007,"USA",98,"English","R",35063732,32000000
2921,"The Orphanage",2007,"Spain",105,"Spanish","R",7159147,3400000
2922,"The Reaping",2007,"USA",99,"English","R",25117498,40000000
2923,"The Savages",2007,"USA",114,"English","R",6610326,
2924,"The Simpsons Movie",2007,"USA",87,"English","PG-13",183132370,75000000
2925,"The Ten",2007,"USA",96,"English","R",766487,5250000
2926,"The Touch",2007,"USA",7,"English",,,13000
2927,"The Warlords",2007,"Hong Kong",113,"Mandarin","R",128978,40000000
2928,"There Will Be Blood",2007,"USA",158,"English","R",40218903,25000000
2929,"Things We Lost in the Fire",2007,"USA",118,"English","R",2849142,16000000
2930,"This Christmas",2007,"USA",117,"English","PG-13",49121934,13000000
2931,"Timber Falls",2007,"USA",100,"English","R",,2600000
2932,"Timecrimes",2007,"Spain",66,"Spanish","R",38108,2600000
2933,"Tin Can Man",2007,"Ireland",83,"English",,,10000
2934,"TMNT",2007,"Hong Kong",87,"English","PG",54132596,34000000
2935,"Trade",2007,"Germany",120,"English","R",214202,12000000
2936,"Transformers",2007,"USA",144,"English","PG-13",318759914,150000000
2937,"U2 3D",2007,"USA",85,"English","G",10353690,
2938,"Under the Same Moon",2007,"Mexico",106,"Spanish","PG-13",12589108,
2939,"Virgin Territory",2007,"Italy",97,"English","R",,38000000
2940,"Waitress",2007,"USA",108,"English","PG-13",19067631,2000000
2941,"Walk Hard: The Dewey Cox Story",2007,"USA",120,"English","R",18317151,35000000
2942,"War",2007,"USA",103,"English","R",22466994,25000000
2943,"We Own the Night",2007,"USA",117,"English","R",28563179,21000000
2944,"When Did You Last See Your Father?",2007,"UK",92,"English","PG-13",1071240,8000000
2945,"White Noise 2: The Light",2007,"USA",99,"English","PG-13",,10000000
2946,"Who's Your Caddy?",2007,"USA",93,"English","PG-13",5694308,7000000
2947,"Why Did I Get Married?",2007,"USA",113,"English","PG-13",55184721,15000000
2948,"Wild Hogs",2007,"USA",100,"English","PG-13",168213584,
2949,"You Kill Me",2007,"USA",93,"English","R",2426851,4000000
2950,"Zodiac",2007,"USA",162,"English","R",33048353,65000000
2951,"21",2008,"USA",123,"English","PG-13",81159365,35000000
2952,"27 Dresses",2008,"USA",111,"English","PG-13",76806312,30000000
2953,"Adam Resurrected",2008,"Germany",106,"English","R",,10000000
2954,"An American Carol",2008,"USA",83,"English","PG-13",7001720,12000000
2955,"Appaloosa",2008,"USA",115,"English","R",20207003,
2956,"Asterix at the Olympic Games",2008,"France",116,"French",,,78000000
2957,"Australia",2008,"Australia",165,"English","PG-13",49551662,130000000
2958,"Baby Mama",2008,"USA",99,"English","PG-13",60269340,30000000
2959,"Babylon A.D.",2008,"France",101,"English","PG-13",22531698,70000000
2960,"Baghead",2008,"USA",84,"English","R",140016,
2961,"Bangkok Dangerous",2008,"USA",99,"English","R",15279680,40000000
2962,"Bathory: Countess of Blood",2008,"Slovakia",141,"English","R",,
2963,"Be Kind Rewind",2008,"UK",102,"English","PG-13",11169531,20000000
2964,"Bedtime Stories",2008,"USA",99,"English","PG",109993847,80000000
2965,"Beverly Hills Chihuahua",2008,"USA",91,"English","PG",94497271,20000000
2966,"Blindness",2008,"Canada",121,"English","R",3073392,25000000
2967,"Body of Lies",2008,"USA",128,"English","R",39380442,70000000
2968,"Bolt",2008,"USA",96,"English","PG",114053579,150000000
2969,"Bottle Shock",2008,"USA",110,"English","PG-13",4040588,5000000
2970,"Bronson",2008,"UK",92,"English","R",104792,
2971,"Burn After Reading",2008,"USA",96,"English","R",60338891,37000000
2972,"Cadillac Records",2008,"USA",109,"English","R",8134217,12000000
2973,"Call + Response",2008,"USA",86,"English","PG-13",215185,200000
2974,"Changeling",2008,"USA",141,"English","R",35707327,55000000
2975,"Childless",2008,"USA",90,"English","R",,1000000
2976,"Choke",2008,"USA",92,"English","R",2926565,3000000
2977,"City of Ember",2008,"USA",90,"English","PG",7871693,55000000
2978,"CJ7",2008,"Hong Kong",86,"Cantonese","PG",206678,
2979,"Cloverfield",2008,"USA",85,"English","PG-13",80034302,25000000
2980,"College",2008,"USA",94,"English","R",4693919,6500000
2981,"Death Race",2008,"USA",111,"English","R",36064910,45000000
2982,"Definitely, Maybe",2008,"Germany",112,"English","PG-13",31973840,
2983,"Delgo",2008,"USA",94,"English","PG",511920,40000000
2984,"Disaster Movie",2008,"USA",88,"English","PG-13",14174654,25000000
2985,"Dolphins and Whales 3D: Tribes of the Ocean",2008,"UK",42,"English",,7518876,6000000
2986,"Donkey Punch",2008,"UK",99,"English","R",18378,900000
2987,"Doomsday",2008,"UK",113,"English","R",10955425,30000000
2988,"Doubt",2008,"USA",104,"English","PG-13",33422556,20000000
2989,"Dragon Hunters",2008,"France",80,"French","PG",,11000000
2990,"Drillbit Taylor",2008,"USA",102,"English","PG-13",32853640,40000000
2991,"Eagle Eye",2008,"USA",118,"English","PG-13",101111837,80000000
2992,"Easy Virtue",2008,"UK",97,"English","PG-13",2656324,
2993,"Eden Lake",2008,"UK",91,"English","R",5824,
2994,"Extreme Movie",2008,"USA",76,"English","R",,
2995,"Fifty Dead Men Walking",2008,"UK",117,"English","R",,6000000
2996,"Fireproof",2008,"USA",122,"English","PG",33451479,500000
2997,"Flame and Citron",2008,"Denmark",45,"Danish","Not Rated",145109,45000000
2998,"Flash of Genius",2008,"USA",119,"English","PG-13",4234040,20000000
2999,"Food, Inc.",2008,"USA",94,"English","PG",4417124,
3000,"Fool's Gold",2008,"USA",112,"English","PG-13",70224196,70000000
3001,"Forgetting Sarah Marshall",2008,"USA",118,"English","R",62877175,30000000
3002,"Four Christmases",2008,"Germany",88,"English","PG-13",120136047,80000000
3003,"Free Style",2008,"Canada",94,"English","PG",140987,
3004,"Frost/Nixon",2008,"USA",122,"English","R",18593156,35000000
3005,"Frozen River",2008,"USA",97,"English","R",2508841,1000000
3006,"Fuel",2008,"USA",112,"English","Not Rated",173783,2500000
3007,"Gangster's Paradise: Jerusalema",2008,"South Africa",119,"English","R",4958,2000000
3008,"Get Smart",2008,"USA",110,"English","PG-13",130313314,80000000
3009,"Ghost Town",2008,"USA",102,"English","PG-13",13214030,20000000
3010,"Good",2008,"UK",92,"English","R",23091,15000000
3011,"Good Dick",2008,"USA",86,"English","R",15542,
3012,"Gran Torino",2008,"USA",116,"English","R",148085755,33000000
3013,"Hamlet 2",2008,"USA",92,"English","R",4881867,9000000
3014,"Hancock",2008,"USA",102,"English","PG-13",227946274,150000000
3015,"Harold & Kumar Escape from Guantanamo Bay",2008,"USA",102,"English","R",38087366,12000000
3016,"Harrison Montgomery",2008,"USA",95,"English",,,850000
3017,"Hellboy II: The Golden Army",2008,"USA",120,"English","PG-13",75754670,85000000
3018,"High School Musical 3: Senior Year",2008,"USA",112,"English","G",90556401,11000000
3019,"How to Lose Friends & Alienate People",2008,"UK",110,"English","R",2775593,27000000
3020,"Impact Point",2008,"USA",90,"English","R",,2200000
3021,"In Bruges",2008,"UK",107,"English","R",7757130,15000000
3022,"Indiana Jones and the Kingdom of the Crystal Skull",2008,"USA",122,"English","PG-13",317011114,185000000
3023,"Inkheart",2008,"Germany",106,"English","PG",17281832,60000000
3024,"Iron Man",2008,"USA",126,"English","PG-13",318298180,140000000
3025,"Journey to Saturn",2008,"Denmark",90,"Danish","Not Rated",,
3026,"Journey to the Center of the Earth",2008,"USA",93,"English","PG",101702060,45000000
3027,"Jumper",2008,"USA",88,"English","PG-13",80170146,85000000
3028,"Kit Kittredge: An American Girl",2008,"USA",101,"English","G",17655201,10000000
3029,"Kung Fu Panda",2008,"USA",92,"English","PG",215395021,130000000
3030,"Lake Mungo",2008,"Australia",89,"English","R",,1400000
3031,"Lakeview Terrace",2008,"USA",110,"English","PG-13",39263506,22000000
3032,"Leatherheads",2008,"USA",114,"English","PG-13",31199215,58000000
3033,"Lovely, Still",2008,"USA",90,"English","PG",124720,5000000
3034,"Mad Money",2008,"USA",104,"English","PG-13",20668843,22000000
3035,"Madagascar: Escape 2 Africa",2008,"USA",89,"English","PG",179982968,150000000
3036,"Made of Honor",2008,"USA",101,"English","PG-13",46012734,40000000
3037,"Mamma Mia!",2008,"USA",108,"English","PG-13",143704210,52000000
3038,"Man on Wire",2008,"UK",90,"English","PG-13",2957978,1000000
3039,"Marley & Me",2008,"USA",115,"English","PG",143151473,60000000
3040,"Max Payne",2008,"Canada",103,"English","PG-13",40687294,35000000
3041,"Me and Orson Welles",2008,"UK",107,"English","PG-13",1186957,25000000
3042,"Meet Dave",2008,"USA",90,"English","PG",11802056,60000000
